 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Sep/2020 03:24:00] "GET //api/indicators/metadata/ HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 03:24:04] "GET //api/datas HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 03:24:05] "GET /api/datas/ HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 03:24:15] "GET //api/actions HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 03:24:15] "GET /api/actions/ HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:43:26] "OPTIONS /api/retreiveAllStrategies HTTP/1.1" 404 -
127.0.0.1 - - [28/Sep/2020 11:43:26] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:43:26] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:43:26] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:46:38] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:46:38] "POST /api/retreiveAllStrategies HTTP/1.1" 404 -
127.0.0.1 - - [28/Sep/2020 11:46:38] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:46:39] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:47:45] "POST /api/retreiveAllStrategies HTTP/1.1" 404 -
127.0.0.1 - - [28/Sep/2020 11:47:45] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:47:45] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:47:46] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:48:06] "POST /api/retreiveAllStrategies HTTP/1.1" 404 -
127.0.0.1 - - [28/Sep/2020 11:48:06] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:48:06] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:48:07] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:48:57] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:48:57] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:48:59] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:54:50] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:54:50] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:54:51] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:55:41] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:55:41] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:55:42] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:57:48] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 11:57:48] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 11:57:49] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:34:14] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:34:14] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:34:15] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:36:44] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:36:45] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:36:45] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:39:13] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:39:13] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:39:14] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:41:54] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:41:54] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:41:55] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:42:14] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:42:14] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:42:15] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:43:21] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:43:21] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:43:22] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:44:58] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:44:58] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:44:59] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:50:10] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:50:10] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:50:11] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:51:05] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:51:05] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:51:06] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:54:41] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:54:41] "OPTIONS /api/logics HTTP/1.1" 308 -
